,Reviews,Date,Names,Tittles
0,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Libby by Overdrive is a necessary app on Amazon Fire Tablets
"
1,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Great idea, need help to get it to work
"
2,"
I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.
","December 6, 2019",Deborah England,"
Still Struggling
"
3,"
Too many romance novels in ‘literature ‘ selection. And why does Overdrive stop working if WiFi isn’t available? Selected and started reading several  books to read on a recent flight but the print (books) disappeared on airplane!  And sometimes stops working at home too. Frustrating!
","January 22, 2018",pianogal,"
this is only reason i downloaded so sorta useless for me
"
4,"
I have tried to use this app but haven't figured it out yet. Others seem to have no trouble. When I get time, I will look more closely to how to use it. For me, it's not a piece of cake and I usually do not have trouble figuring these apps out.
","July 25, 2019",Dita C. Batteau,"
Difficult to Use
"
5,"
.i used to be able to drag books from here to adobe digital editions software which would allow them to then showup on my nook...... something has changed somewhere because i dont seem to be able to do any longer.....  this is only reason i downloaded so  sorta useless for me
","March 30, 2018",d mede,"
Virtual Library with limitations
"
6,"
It does not seem to have the ability to order a series without knowing book names; you need to do library search first to get them. Also difficult to return books to library before due date. Had to go to library website to return them and even then Amazon site still had it available as not returned.
","March 7, 2019",Amazon Customer,"
Annoying steps
"
7,"
It's very useful and convenient for borrowing materials. The 5 item limitation helps one to really choose what you read or listen to so one doesn't just tend to hoard a bunch of books one may ever read or not. My only complaint is that I chose an audible book only to learn after I'd downloaded it that the format wasn't compatible with my kindle. And there's no returning it until the due date. I just wish there could have been some kind of forwarning for this kind of situation. So now I have one less item I am able to choose until this un-useable item's date expires. I also tried downloading Overdrive on my laptop and the audio turned out to also be incompatible for some reason so I removed  it altogether from my laptop. Overdrive works just fine for e-books on my kindle, which by the way is 2013 hd (in case anyone else might have a similar experience).
","March 14, 2013",daniel talioaga,"
The choice of free books via Overdrive is horrible!!
"
8,"
I find this system too annoying to use on a consistent basis. Yes I did download a book on my kindle but the ones I really wanted were like 12 weeks out to download. Also, setting up the overdrive app is way beyond cumbersome. Nothing should be this complicated when one only wants to read a book from the library.
","June 24, 2019",PJ Grasse,"
App no longer works :(
"
9,"
I enjoy reading adult mysteries on my Kindle while traveling.  My local library system was tied into Overdrive and it worked very well.  However, now that Overdrive is linked with Amazon, the choice for free adult mysteries like I used to get through my library is dismal.  I realize Amazon wants me to pay for downloading books rather than borrowing them, but I should still be able to get free adult mystery books through my library and I can't.  If you are going to be linked with libraries for people who use their Kindle like this, you should have a decent selection to choose from!  Needless to say, I will be having a discussion with my library as well.
","January 5, 2020",Harold Ray Cox,"
Very good value, but not user friendly
"
10,"
Update: I spoke to my local library about this issue and they contacted overdrive about the issue. Overdrive has started that their app no longer works with the original Kindle Fire HD.I loved the app at first but then it updated and now I can't even log in. Whenever i get to the login page it gives me a connection error as shown above. If I click try again it does the same thithing. If I click cancel it closes the app to the initial page. I don't have any issues connecting to websites through my Kindle Fire anywhere else except with this app.
","June 23, 2019",Soonerchick,Does not work on Kindle fire
11,"
I bought a Kindle Fire after learning that my public library lends e-books through OverDrive. I attended a class for e-book users at the library during which they gave instructions for downloading and using OverDrive Media.At the beginning of the class, we were taken step-by-step through the process of downloading OverDrive to our e-book readers of various kinds . I followed along and did each step as directed, but we could never get the program to load. I tried to follow the subsequent instructions, but without the program, I was lost.After getting written steps from the library and several attempts at home, I was able to use it. I am enjoying being able to read books on my Kindle Fire when I can get them to load, but I have had difficulty each time I've tried to borrow a book.I appreciate that the program is free and that it offers many free books, but I struggle with using the OverDrive program.
","February 3, 2013",JPinOK,Libby by Overdrive is a necessary app on Amazon Fire Tablets
12,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
This does not work with the Latest Apple IOS
"
13,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Overdrive - Good program - How do you use it? (Instructions Needed!)
"
14,"
I loved OverDrive and used it consistently until I had to replace my Apple computer with its newest operating system.  Overdrive is no longer compatible  with my computer.  In order to borrow books now I have to use my iPhone, which is less than ideal for viewing books.I have written to OverDrive about this situation and have never received a response.
","January 5, 2020",Cynthia J. Davies,"
Gtood app, but hard to navigate
"
15,"
Seems to work OK - just installed yesterday, had to figure out how to find local branch library, download a book, set it up to read in the app, pause and resume in another session. DESPERATELY needs step-by-step user ""how to"" instructions to prevent painstaking experimentation I had to go through both on my own AND with a local librarian!  With so many available reading devices the MUST be a way to develop ""universal"" instructions which can be used to get the user at least started!  Maybe download the instructions themselves and read THEM in the app as though they were a small ""book"".
","November 3, 2016",Jim Tuite,"
Needs A LOT of improvement to be user friendly...
"
16,"
I got this app to borrow ebooks from my local library.  It took me several attempts to get on my library's collection, and when I first attempted to borrow a book, I got an instructional video from Amazon on how to use the Kindle!  Eventually it worked, but persistence is required.
","January 18, 2019",marycat,"
I prefer kindle!
"
17,"
Although I use this quite often, it is not an easy process. It can be quite confusing to a new user. There is nothing quick and to the point in this app, it is a click, click, and click some more process to finally reach where you are trying to get too....
","December 13, 2014",JD BW,"
still learning
"
18,"
I would rather have Libby so that the same program is working across all my devices.  Different enough from the kindle reader that I get frustrated when I am trying to find my place on another device. My library system uses this, and the Libby version, and if Overdrive and Libby talk to each other I have not figured it out. But...books are free.
","July 24, 2018",Judy,"
Nice App ,but Needs Work!
"
19,"
it will save me lots of money on kindle books, but must learn how to retreive them.  had to have a computer expert come in to show me.  hope i remember when this is done.  for a light computer user, it is complicated
","August 2, 2019",Georgia Edwards,"
Very disappointed. The app said it would be Libby
"
20,"
I have overdrive on both my Kindle Fire and iPad.  Overrdrive is a great app, but returning audiobooks does not remove them from the ""Bookshelf"".  I have spend much time trying to remove them. The Tap n Hold method does not work on audiobooks?  I gave up, will let them expire and get my audiobooks from a different source. Removing the RETURN command when you download is a mistake that should be considered in the next update.  Leave the RETURN command in the Bookshelf to make it less of a chore to Return books early.
","July 28, 2015",dom836,"
Allows you to borrow e-books and audio books from the library
"
21,"
Very disappointed.  The app said it would be Libby, but it turned into overdrive.  I can't finish a book in two weeks.  Most of the books were out and you had to put them on hold!
","March 30, 2018",Anita Corbeil,"
Works well, but could be more user-friendly
"
22,"
It's a little more difficult for me to use than I would like, however, that being said I'm happy to have an app that allows me to borrow audio books from the library.  I tend to be confused as it works different on my Kindle, tablet, phone and desktop.
","February 4, 2019",Texas Native,Does not work on Kindle fire
23,"
There was a slight learning curve with OverDrive when making selections from my local library, but I believe I'm getting the hang of it.  The player works well.  It has the ability to go back or forward in 15 second increments, which is very helpful.  These indicators were a bit difficult to see at first and they are very small. They're not the typical back and forward arrows, but circles with arrows with a small ""15S"" written inside. They are hard to work while driving.  I wish there was some sort of voice command available to do this instead of using a finger.
","July 1, 2014",RedRosy,Libby by Overdrive is a necessary app on Amazon Fire Tablets
24,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Not a great E-book reader
"
25,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Was it Overdrive app or Amazon?
"
26,"
I was unable to highlight text and keep notes!
","September 3, 2019",Pastor Russ,"
Good question
"
27,"
I was just told about this app to get library books onto my Kindle. When I first tried to check out a book using my Kindle, it didn't work.  I then had to go to my desktop, go to library website, choose the book and then was immediately taken to Amazon website. I was then confused and figured nothing happened.  When I turned on Kindle the next day, I saw that the book had indeed been downloaded! I don't really know if Overdrive was even involved. I just know I was happy that something worked.
","June 26, 2015",Judy Vogel,"
Needs improvement limited sources. I can find more libraries ...
"
28,"
I am not real cell phone/tablet understanding, so so far I am waiting for more help.  When I got my new Kimble Fire HD8I was surprised there were no instructions with it.  Now I am waiting for my grandchildren to help out.
","August 10, 2018",Samuels,"
I have it on my phone
"
29,"
Needs improvement limited sources. I can find more libraries in my hometown that has ebooks than this can. Books of the sites online don't show everything by means of a complete list.
","March 10, 2017",Steven Hoffman,"
Not good for Kindle HD Users
"
30,"
I liked the way I can check out books from the library without going. I read about four books so far it is seamless process. The only downside is my tablet is saying I don’t have enough room when I put in an sd card. Thereby I didn’t use it on my tablet.
","August 15, 2018",shallee,"
I enjoy audiobooks because I'm allowed to listen to them at ...
"
31,"
I could not open the book even though it said it was downloaded.  The process is very convoluted to navigate.  I have a Kindle fire HD so I do not know if there is a compatibility issue but I followed the directions given by the library.
","August 28, 2017",Denise Phelps,"
FREE IS TOO MUCH $ FOR THIS APP
"
